"Equipment ID","Equipment Type","Installation Date","Maintenance Cost","Status"
"EQP-001","Generator","2022-01-15",5000,"Operational"
"EQP-002","Compressor","2021-05-20",3200,"Under Maintenance"
"EQP-003","Pump","2023-03-10",1500,"Operational"
"EQP-004","Generator","2020-11-02",6000,"Operational"
"EQP-005","Motor","2022-08-25",2500,"Failure"
"EQP-006","Generator","2023-01-30",5200,"Operational"
"EQP-007","Compressor","2021-09-12",3400,"Operational"
"EQP-008","Pump","2022-04-05",1600,"Under Maintenance"
"EQP-009","Motor","2020-07-18",2800,"Operational"
"EQP-010","Generator","2023-06-22",5300,"Operational"
